POSITION,NAME,TOUCHDOWNS,INTERCEPTIONSTHROWN,YARDS,CARRIES,RECEPTIONS
RB,Grant.Corey,0,0,2,6,0
RB,Gray.Jonas,0,0,176,45,0
RB,Green.Aaron,0,0,0,0,0
RB,Grimes.Jonathan,1,0,282,56,0
RB,Gronkowski.Glenn,0,0,0,0,0
RB,Gurley.Todd,10,0,1,106,229,0
RB,Ham.C.J.,0,0,0,0,0
RB,Hansbrough.Russell,0,0,0,0,0
RB,Harris.DuJuan,0,0,189,48,0
RB,Helu.Roy,0,0,39,17,0
RB,Henry.Derrick,0,0,0,0,0
RB,Herron.Dan,0,0,79,25,0
RB,Hightower.Tim,4,0,375,96,0
RB,Hill.Bronson,0,0,0,0,0
RB,Hill.Jeremy,11,0,794,223,0
RB,Hilliard.Kenny,0,0,0,0,0
RB,Hillman.Ronnie,7,0,863,207,0
RB,Houma.Sione,0,0,0,0,0
RB,Howard.Jordan,0,0,0,0,0
RB,Howsare.Julian,0,0,0,0,0
RB,Hunt.Akeem,0,0,96,17,0
RB,Hyde.Carlos,3,0,470,115,0
RB,Ingram.Mark,6,0,769,166,0
RB,Iosefa.Joey,0,0,51,15,0
RB,Ivory.Chris,7,0,1,070,247,0
RB,Jackson.Darius,0,0,0,0,0
RB,James.Mike,0,0,0,0,0
RB,Janovich.Andy,0,0,0,0,0
RB,Jennings.Rashad,3,0,863,195,0
RB,Johnson.Austin,1,0,9,4,0
RB,Johnson.Brandon,0,0,0,0,0
RB,Johnson.Chris,3,0,814,196,0
RB,Johnson.David,8,0,581,125,0
RB,Johnson.Devon,0,0,0,0,0
RB,Johnson.Gus,0,0,0,0,0
RB,Johnson.Malcolm,0,0,0,0,0
RB,Johnson.Duke,0,0,379,104,0
RB,Johnson.Storm,0,0,0,0,0
RB,Johnson.Will,1,0,7,4,0
RB,Jones.Matt,3,0,490,144,0
RB,Jones.Taiwan,0,0,74,16,0
RB,Juszczyk.Kyle,0,0,3,2,0
RB,Kelley.Rob,0,0,0,0,0
RB,Kerridge.Joe,0,0,0,0,0
RB,Lacy.Eddie,3,0,758,187,0
RB,Langford.Jeremy,6,0,537,148,0
RB,Lasco.Daniel,0,0,0,0,0
RB,Lasike.Paul,0,0,0,0,0
RB,Laskey.Zach,0,0,0,0,0
RB,Lewis.Dion,2,0,234,49,0
RB,Line.Zach,2,0,10,6,0
RB,Luc.Jeff,0,0,0,0,0
RB,Madden.Tre,0,0,0,0,0
RB,Magee.Terrence,0,0,5,2,0
RB,Marshall.Keith,0,0,0,0,0
RB,Martin.Doug,6,0,1,402,288,0
RB,Mason.Tre,1,0,207,75,0
RB,Mathews.Ryan,6,0,539,106,0
RB,McCluster.Dexter,1,0,247,55,0
RB,McCoy.LeSean,3,0,895,203,0
RB,McFadden.Darren,3,0,1,089,239,0
RB,McKinnon.Jerick,2,0,271,52,0
RB,Michael.Christine,0,0,243,54,0
RB,Millard.Trey,0,0,0,0,0
RB,Miller.Bruce,1,0,14,6,0
RB,Miller.Lamar,8,0,872,194,0
RB,Morris.Alfred,1,0,751,202,0
RB,Morris.Romar,0,0,0,0,0
RB,Mostert.Raheem,0,0,0,0,0
RB,Murphy.Marcus,0,0,0,1,0
